id,subset_id,user0,rate0,user1,rate1,user2,rate2,user3,rate3,user4,rate4,user5,rate5,user6,rate6,user7,rate7,user8,rate8,user9,rate9,user10,rate10,user11,rate11
0000,a_ca0e48b0,113a8ab0,3,2d11c77e,3,2dbd27c3,3,44c36033,4,5a9200df,3,73040289,3,7c23ceb0,3,a99a22f8,3,b81e9954,3,cfbe0f01,3,efe2d040,2,"",""
0004,a_29008b58,2a927836,4,3425538d,3,55993d62,5,5cc18d0c,3,6e7b3778,2,847c29b2,3,980f19b3,4,bb3ba240,1,dcb9e3a1,2,f30a1906,4,f7a5ac14,3,"",""
0007,a_374d5973,2943dfd3,4,3a7e29ae,6,4031cc23,4,57dbe8c1,3,7371268a,5,990d6ef4,4,d0d02050,5,d50e7fa4,3,e30e7614,4,e63e6e6d,3,f55318b6,5,"",""
0008,a_5562c89e,1accacbd,3,34d9eca1,4,7b112d4f,4,8fcc6d7f,4,905a022e,4,99dedb87,3,e329d1ca,4,e83d089e,4,e90c4366,5,eacd931c,3,edb42d20,4,"",""
0010,a_badae39d,4c461f02,5,8163a005,5,8769cf51,4,883cfd53,6,99076395,4,a20f894d,5,b0074ff8,5,e243e5e4,5,edbbdee8,5,f071786c,6,fd57e54a,4,"",""
0012,a_a91bcd65,15c58dc6,4,211bd859,4,7310a62f,4,92607af3,2,bb4764b2,4,cc054472,1,dc43fe6c,5,df2962b3,1,e3ee98ca,6,e659eaf4,4,fc348cba,4,"",""
0028,a_da8221d9,19b4a060,4,4734f49d,4,516ea3a0,3,651298c4,3,7be10a2f,2,8056b049,2,9346d2cc,4,9603e196,3,97cfbd1f,3,ae0f4e20,3,f3b6e1ee,3,ff75e76f,4
0060,a_ac8bf375,2ac6ff5e,3,2df062d4,3,626e799d,3,8874080f,5,894b62a1,4,a2e67a10,4,a98e0927,3,b641ead8,3,c7e95b9f,4,e4e159ed,3,ec7dffc2,4,"",""
0062,a_ef127a78,09aede72,4,2689f3c7,3,3871b1e9,4,4bac00f5,2,5b570cb9,4,88450961,3,93ee56d8,3,c182cd84,3,c4117b66,3,cad46996,4,d134b61b,4,"",""
0067,a_b3d12927,0d94c053,4,0da9ec65,3,2a7fc6d4,4,3a60db07,3,72fb48ce,4,7361f865,3,d7051be2,3,da8c855f,2,e04a26be,4,e7ec743b,4,f5c128f0,5,"",""
0072,a_964f2afc,1fe7e216,5,29c91a53,4,2eb5c76c,4,34e47ca1,5,396d2b31,5,471c7866,4,68ff06df,3,b90679da,4,bb02ee5b,3,bc77cc48,6,f578bfef,4,"",""
0074,a_253650b8,059c11e6,4,23a30457,3,25eaf492,4,2bad2be5,4,402855de,4,41f819ff,5,53ac5547,5,5adc42ec,5,8f4b1076,4,dd5f6f93,5,fea2653d,4,"",""
0076,a_90a6ea35,2d1cb7be,4,412e44dc,4,5d370ed1,3,742b4d66,5,816b7592,4,86c11e37,3,8d081b49,6,8e1e710b,3,8f249acd,4,b7c07260,3,bf316c93,3,"",""
0077,a_d7855f4b,04eb34df,4,06ca2844,3,0802e9ee,2,1903edb6,5,757fe465,5,7b17f59e,4,7bca5e41,5,a27df84a,5,a37045d3,3,bcf32a6b,4,ee6c428e,5,fb4244a7,4
0078,a_d93f639c,54f3dd4e,5,60000d07,5,852b5996,5,98fa4b35,5,a8bd4beb,3,a9ec7e8f,4,b054b013,5,c98ee58c,4,d15fa9e8,4,da88edb8,6,f9f12059,5,"",""
0079,a_cc9fb925,00c4923d,4,28d0cb3b,4,4a57f7c0,3,5b4ec50d,5,8c95c00d,5,8d6b973b,5,b75349a3,5,d3d8491b,4,d4a038f0,4,d9ae9197,3,eabeab6f,3,"",""
0080,a_dbae58e0,1cd81a27,5,6972e464,4,77222051,3,a35f176a,4,a6c854a2,5,c51458be,6,d146e2e4,5,d15958e8,4,d9a399e0,3,e3de1e25,4,eff3f33f,5,"",""
0082,a_badae39d,4c461f02,3,8163a005,5,8769cf51,4,883cfd53,5,99076395,4,a20f894d,4,b0074ff8,4,e243e5e4,5,edbbdee8,4,f071786c,6,fd57e54a,4,"",""
0083,a_29008b58,2a927836,3,3425538d,4,55993d62,5,5cc18d0c,3,6e7b3778,5,847c29b2,4,980f19b3,5,bb3ba240,3,dcb9e3a1,4,f30a1906,4,f7a5ac14,4,"",""
0087,a_964f2afc,1fe7e216,4,29c91a53,4,2eb5c76c,3,34e47ca1,3,396d2b31,4,471c7866,4,68ff06df,2,b90679da,3,bb02ee5b,3,bc77cc48,3,f578bfef,4,"",""
0089,a_cc9fb925,00c4923d,2,28d0cb3b,1,4a57f7c0,3,5b4ec50d,5,8c95c00d,3,8d6b973b,4,b75349a3,4,d3d8491b,3,d4a038f0,4,d9ae9197,1,eabeab6f,4,"",""
0090,a_d7855f4b,04eb34df,3,06ca2844,4,0802e9ee,1,1903edb6,3,757fe465,3,7b17f59e,5,7bca5e41,3,a27df84a,4,a37045d3,3,bcf32a6b,2,ee6c428e,3,fb4244a7,5
0093,a_5562c89e,1accacbd,5,34d9eca1,5,7b112d4f,3,8fcc6d7f,4,905a022e,2,99dedb87,5,e329d1ca,4,e83d089e,4,e90c4366,5,eacd931c,2,edb42d20,5,"",""
0094,a_ef127a78,09aede72,5,2689f3c7,5,3871b1e9,4,4bac00f5,4,5b570cb9,4,88450961,2,93ee56d8,6,c182cd84,5,c4117b66,3,cad46996,4,d134b61b,3,"",""
0095,a_3d1de17d,043f8e0d,1,07c323fe,4,4e34b287,3,52d33db7,1,7c43dcb5,4,a675e469,4,a88546ad,4,b6c63ebd,4,c4d2a07e,5,d30e9180,3,df33f32f,3,"",""
0098,a_95dede8b,092cc2b4,3,0aeb6d5d,2,11b6a985,2,1d2c0f7f,1,a439bfa1,2,a5031c6e,3,cbb3a712,4,d24449bf,4,dcf3e5ac,1,f8daba60,2,fa50b1d1,2,"",""
0099,a_7b29e23f,4f63d16e,3,598be29c,4,5bee1681,4,7cf8ccba,5,834253f4,5,a1f841b2,6,ada2046e,1,b4ad9d91,6,df2b4d8a,4,e0d51fe8,4,fa41b632,4,"",""
0100,a_253650b8,059c11e6,3,23a30457,2,25eaf492,1,2bad2be5,3,402855de,2,41f819ff,2,53ac5547,2,5adc42ec,1,8f4b1076,2,dd5f6f93,2,fea2653d,2,"",""
0102,a_34ba6327,002c7bba,2,0253156f,2,102bbed5,2,18ef37d0,3,1df31e49,1,772a87f7,3,7fba6aea,2,b0e62eb3,1,b7619d6f,1,f3919428,1,f55fde02,3,"",""
0117,a_a310c11e,378b3dec,1,3dbad0fb,4,3eceff37,5,83b3e09e,4,9a8093af,4,b7a27207,3,cc4fcc4a,4,d0e8bc92,4,dea2a51e,4,eb570bf7,4,f6a48121,5,"",""
0132,a_3a735b61,404ca18d,4,50bcfb5d,3,6437e4d5,3,7e2d8ba8,3,93fc47d1,4,9e273b82,3,a16ed495,4,a3d80c66,4,b294305d,4,bea95000,2,fa3fd888,4,"",""
0139,a_289e36dd,1daafe34,4,2320872c,3,3942cfb8,3,50254edf,3,835becaa,3,8b659694,4,a24e6f45,3,ace9c92c,3,b466419e,4,f43a928e,6,f4bda568,5,"",""
0157,a_f30344df,13b5b6b5,1,248c6b5b,3,31ae2045,3,368dcb7b,1,59d9e81a,1,5f9348a6,3,7a2ba857,5,90642a0b,2,de26caf0,3,e3188ad8,3,f4550298,2,"",""
0162,a_da8221d9,19b4a060,4,4734f49d,4,516ea3a0,4,651298c4,4,7be10a2f,3,8056b049,5,9346d2cc,5,9603e196,3,97cfbd1f,2,ae0f4e20,5,f3b6e1ee,4,ff75e76f,2
0168,a_c4387204,0b854a3d,3,1b24b2e5,2,24064ac2,3,27f45cd4,4,7eda9939,3,a50b41c4,4,a5c21bfa,4,dbb2b338,4,f664149a,3,f8dead28,4,fa512d71,2,"",""
0172,a_6ab2a6c2,197831d0,3,44f2f998,2,4e0f34ba,3,60411760,2,7f473219,4,d2bbe189,3,d3296151,4,e08f50e4,3,e269f33e,4,eb37dc7b,3,fc7e69f1,5,"",""
